Number,Hanzi,Pinyin,English,Part of Speech,First PoS,Eng pos,Level,Levels,example1_chinese,example1_pinyin,example1_english,example2_chinese,example2_pinyin,example2_english,example3_chinese,example3_pinyin,example3_english
767,满意,mǎnyì,satisfied; pleased,动 v.,动 v.,verb,3,3,我对这家宾馆的服务很满意。,Wǒ duì zhèjiā bīnguǎn de fúwù hěn mǎnyì.,I am very satisfied with the service at this hotel.,老师对我们的成绩很满意。,Lǎoshī duì wǒmen de chéngjì hěn mǎnyì.,The teacher is very pleased with our grades.,这个结果让大家都很满意。,Zhège jiéguǒ ràng dàjiā dōu hěn mǎnyì.,This result pleased everyone.
768,毛,máo,mao; one-tenth of a yuan,量 m.w.; （名 n.）,量 m.w.,measure word; noun,3,3（5）,这个糖五毛钱。,Zhège táng wǔmáoqián.,This candy costs five mao.,我口袋里只有一毛钱。,Wǒ kǒudài lǐ zhǐyǒu yìmáoqián.,I have only one mao in my pocket.,公交车票涨了两毛。,Gōngjiāochē piào zhǎng le liǎng máo.,The bus fare increased by two mao.
769,米,mǐ,rice,量 m.w.,量 m.w.,measure word,3,3,这张桌子有两米长。,Zhè zhāng zhuōzi yǒu liǎngmǐ cháng.,This table is two meters long.,我买了一袋米。,Wǒ mǎi le yídài mǐ.,I bought a bag of rice.,学校离我家三百米。,Xuéxiào lí wǒjiā sānbǎimǐ.,The school is three hundred meters from my home.
770,面前,miànqián,in front of; facing; presence,名 n.,名 n.,noun,3,3,老师站在学生面前。,Lǎoshī zhàn zài xuéshēng miànqián.,The teacher is standing in front of the students.,学校就在我们面前。,Xuéxiào jiù zài wǒmen miànqián.,The school is right in front of us.,他在大家面前介绍了自己。,Tā zài dàjiā miànqián jièshào le zìjǐ.,He introduced himself in front of everyone.
771,明白,míngbai,clear; obvious; unequivocal,形 adj.; 动 v.,形 adj.,adjective; verb,3,3,我不太明白他说什么。,Wǒ bù tài míngbai tā shuō shénme.,I don't quite understand what he says.,我不明白他想要什么。,Wǒ bù míngbai tā xiǎngyào shénme.,I can't make out what he wants.,我不明白您想说什么。,Wǒ bù míngbai nín xiǎng shuō shénme.,I don't understand what you're trying to say.
772,名单,míngdān,list of names,名 n.,名 n.,noun,3,3,请把你的名字写在名单上。,Qǐng bǎ nǐ de míngzì xiě zài míngdān shàng.,Please write your name on the list.,参加比赛的名单已经出来了。,Cānjiā bǐsài de míngdān yǐjīng chūlái le.,The list of people taking part in the competition has been released.,我在名单上没有找到他的名字。,Wǒ zài míngdān shàng méiyǒu zhǎodào tā de míngzì.,I could not find his name on the list.
773,名人,míngrén,personage; celebrity,名 n.,名 n.,noun,3,3,那位名人正在接受采访。,Nàwèi míngrén zhèngzài jiēshòu cǎifǎng.,That celebrity is being interviewed.,很多名人参加了这次活动。,Hěnduō míngrén cānjiā le zhècì huódòng.,Many celebrities took part in this event.,他虽然是名人，但是生活很简单。,Tā suīrán shì míngrén; dànshì shēnghuó hěn jiǎndān.,Although he is famous; he lives a simple life.
774,南,nán,south,名 n.,名 n.,noun,3,3,火车站在城市南边。,Huǒchēzhàn zài chéngshì nánbiān.,The train station is on the south side of the city.,我们继续向南走。,Wǒmen jìxù xiàngnánzǒu.,We continued walking south.,南边的天气比较暖和。,Nánbiān de tiānqì bǐjiào nuǎnhuo.,The weather in the south is relatively warm.
775,难,nán,disaster; distress; to scold,形 adj.; （动 v.）,形 adj.,adjective; verb,3,3（6）,这道题有点儿难。,Zhè dào tí yǒudiǎnr nán.,This question is a little difficult.,学好汉字并不容易，但是也不太难。,Xuéhǎo hànzì bìng bù róngyì; dànshì yě bù tài nán.,Learning Chinese characters well is not easy; but it is not too difficult either.,这个问题很难解决。,Zhège wèntí hěn nán jiějué.,This problem is difficult to solve.
776,南方,nánfāng,the south,名 n.,名 n.,noun,3,3,南方的夏天很热。,Nánfāng de xiàtiān hěn rè.,Summers in southern China are very hot.,她在南方生活了很多年。,Tā zài nánfāng shēnghuó le hěnduōnián.,She lived in the south for many years.,我们打算去南方旅行。,Wǒmen dǎsuàn qù nánfāng lǚxíng.,We plan to travel in southern China.
777,难过,nánguò,sad; upset,形 adj.,形 adj.,adjective,3,3,我知道你难过。,Wǒ zhīdào nǐ nánguò.,I know you're upset.,这让我难过。,Zhè ràng wǒ nánguò.,This makes me sad.,我很难过。,Wǒ hěn nánguò.,I am very sad.
778,难看,nánkàn,ugly; unsightly,形 adj.,形 adj.,adjective,3,3,这件上衣颜色太难看了。,Zhèjiàn shàngyī yánsè tài nánkàn le.,The color of this top is very unattractive.,这个字写得有点儿难看。,Zhège zì xiě de yǒudiǎnr nánkàn.,This character is written rather poorly.,照片上的天气很差，景色也很难看。,Zhàopiàn shàng de tiānqì hěn chà; jǐngsè yě hěn nánkàn.,The weather in the photo is bad; and the scenery is unattractive too.
779,男人,nánrén,a man; a male; men,名 n.,名 n.,noun,3,3,那个男人是我们的新老师。,Nàge nánrén shì wǒmen de xīn lǎoshī.,That man is our new teacher.,门口站着一个高个子男人。,Ménkǒu zhàn zhe yígè gāogèzi nánrén.,A tall man is standing at the entrance.,这个男人正在帮助老人过马路。,Zhège nánrén zhèngzài bāngzhù lǎorén guò mǎlù.,This man is helping an elderly person cross the road.
780,男生,nánshēng,schoolboy; male student; boy,名 n.,名 n.,noun,3,3,那个男生是我们班的班长。,Nàge nánshēng shì wǒmen bān de bānzhǎng.,That male student is our class monitor.,几个男生正在球场上打球。,Jǐgè nánshēng zhèngzài qiúchǎng shàng dǎqiú.,Several boys are playing ball on the court.,这位男生的中文说得很好。,Zhèwèi nánshēng de zhōngwén shuō de hěn hǎo.,This male student speaks Chinese very well.
781,难题,nántí,difficult problem,名 n.,名 n.,noun,3,3,老师给我们出了一道难题。,Lǎoshī gěi wǒmen chū le yídào nántí.,The teacher gave us a difficult problem.,大家一起想办法解决这个难题。,Dàjiā yìqǐ xiǎng bànfǎ jiějué zhège nántí.,Everyone worked together to find a way to solve this difficult problem.,这道难题我想了半天才做出来。,Zhè dào nántí wǒ xiǎng le bàntiān cái zuò chūlái.,I thought about this difficult problem for a long time before solving it.
782,难听,nántīng,unpleasant to hear; bad-sounding,形 adj.,形 adj.,adjective,3,3,这个声音太难听了。,Zhège shēngyīn tài nántīng le.,This sound is very unpleasant.,他说的话有点儿难听。,Tā shuō dehuà yǒudiǎnr nántīng.,What he said was rather unpleasant to hear.,这首歌唱得不太难听。,Zhè shǒu gēchàng de bù tài nántīng.,This song was not sung too badly.
783,年级,niánjí,grade; year,名 n.,名 n.,noun,3,3,我妹妹上小学三年级。,Wǒ mèimèi shàng xiǎoxué sān niánjí.,My younger sister is in the third grade of primary school.,不同年级的学生在不同教室上课。,Bùtóng niánjí de xuéshēng zài bùtóng jiàoshì shàngkè.,Students in different grades attend class in different classrooms.,你现在上几年级？,Nǐ xiànzài shàng jǐ niánjí?,What grade are you in now?
784,年轻,niánqīng,young,形 adj.,形 adj.,adjective,3,3,她很年轻，但是工作经验很多。,Tā hěn niánqīng; dànshì gōngzuò jīngyàn hěnduō.,She is young but has a lot of work experience.,这位年轻老师很受学生欢迎。,Zhèwèi niánqīng lǎoshī hěn shòu xuéshēng huānyíng.,This young teacher is very popular with the students.,年轻人常常对新事物感兴趣。,Niánqīngrén chángcháng duì xīn shìwù gǎnxìngqù.,Young people are often interested in new things.
785,牛,niú,cow; awesome,名 n.; （形 adj.）,名 n.,noun; adjective,3,3（5）,草地上有几头牛。,Cǎodì shàng yǒu jǐtóu niú.,There are several cows in the meadow.,这头牛正在吃草。,Zhè tóu niú zhèngzài chī cǎo.,This cow is eating grass.,他属牛。,Tā shǔ niú.,His Chinese zodiac sign is the Ox.
786,努力,nǔlì,to make an effort; to try hard; to strive,动 v.; 形 adj.,动 v.,verb; adjective,3,3,你的成绩比较好，应该继续努力。,Nǐ de chéngjì bǐjiào hǎo; yīnggāi jìxù nǔlì.,Your grades are relatively good; you should keep working hard.,我们应该工作得更努力。,Wǒmen yīnggāi gōngzuò de gèng nǔlì.,We should've worked harder.,我会努力帮你找到他们。,Wǒhuì nǔlì bāng nǐ zhǎodào tāmen.,I'll try to find them for you.
787,女人,nǚrén,woman,名 n.,名 n.,noun,3,3,那个女人是我的邻居。,Nàge nǚrén shì wǒ de línjū.,That woman is my neighbor.,一位年轻女人走进了办公室。,Yíwèi niánqīng nǚrén zǒujìn le bàngōngshì.,A young woman walked into the office.,这个女人正在照顾一个孩子。,Zhège nǚrén zhèngzài zhàogù yígè háizi.,This woman is taking care of a child.
788,女生,nǚshēng,schoolgirl; female student; girl,名 n.,名 n.,noun,3,3,那个女生是新来的留学生。,Nàge nǚshēng shì xīn lái de liúxuéshēng.,That female student is a new international student.,两个女生在图书馆复习。,Liǎnggè nǚshēng zài túshūguǎn fùxí.,Two girls are reviewing in the library.,这位女生在比赛中得分了。,Zhèwèi nǚshēng zài bǐsài zhōng défēn le.,This female student scored in the match.
789,爬,pá,to crawl; to climb; to get up or sit up,动 v.,动 v.,verb,3,3,周末我们去爬山。,Zhōumò wǒmen qù páshān.,We are going hiking this weekend.,孩子正在地上爬。,Háizi zhèngzài dìshàng pá.,The child is crawling on the floor.,他爬楼梯爬得很快。,Tā pá lóutī pá de hěnkuài.,He climbs the stairs quickly.
790,怕,pà,to be afraid; to fear; to dread,动 v.; （副 adv.）,动 v.,verb; adverb,3,3（4）,我怕坐飞机。,Wǒ pà zuòfēijī.,I am afraid of flying.,别怕，我会陪着你。,Bié pà; wǒhuì péi zhe nǐ.,Do not be afraid; I will stay with you.,她最怕一个人走夜路。,Tā zuì pà yígè rén zǒu yèlù.,She is most afraid of walking alone at night.
791,拍照,pāizhào,to take a photo,动 v.,动 v.,verb,3,3,游客到处拍照。,Yóukè dàochù pāizhào.,Tourists take photos everywhere.,我能在这里拍照吗？,Wǒ néng zài zhèlǐ pāizhào ma?,Can I take pictures here?,请让我为你拍照。,Qǐng ràng wǒ wèi nǐ pāizhào.,Please let me take your picture.
792,盘子,pánzi,plate,名 n.,名 n.,noun,3,3,桌上放着三个盘子。,Zhuōshàng fàng zhe sāngè pánzi.,There are three plates on the table.,请把水果放在盘子里。,Qǐng bǎ shuǐguǒ fàngzài pánzi lǐ.,Please put the fruit on the plate.,这个盘子已经洗干净了。,Zhège pánzi yǐjīng xǐ gānjìng le.,This plate has already been washed clean.
793,胖,pàng,fat; plump,形 adj.,形 adj.,adjective,3,3,这只猫有点儿胖。,Zhè zhī māo yǒudiǎnr pàng.,This cat is a little plump.,他最近胖了两公斤。,Tā zuìjìn pàng le liǎng gōngjīn.,He has gained two kilograms recently.,这件上衣让我看起来很胖。,Zhèjiàn shàngyī ràng wǒ kànqǐlái hěn pàng.,This top makes me look heavy.
794,啤酒,píjiǔ,beer,名 n.,名 n.,noun,3,3,我点了一碗面条儿和一瓶啤酒。,Wǒ diǎn le yìwǎn miàntiáor hé yìpíng píjiǔ.,I ordered a bowl of noodles and a bottle of beer.,那时候我不喜欢啤酒。,Nà shíhòu wǒ bù xǐhuān píjiǔ.,I didn't like beer at that time.,你想再喝些啤酒吗？,Nǐ xiǎng zài hē xiē píjiǔ ma?,Would you like some more beer?
795,平时,píngshí,usually; in everyday life,名 n.,名 n.,noun,3,3,我平时坐地铁上班。,Wǒ píngshí zuòdìtiě shàngbān.,I usually take the subway to work.,他平时很少喝酒。,Tā píngshí hěnshǎo hējiǔ.,He rarely drinks alcohol in his day-to-day life.,你平时下班以后做什么？,Nǐ píngshí xiàbān yǐhòu zuò shénme?,What do you usually do after work?
796,瓶子,píngzi,bottle,名 n.,名 n.,noun,3,3,这个瓶子装满了水。,Zhège píngzi zhuāngmǎn le shuǐ.,The bottle is filled with water.,他用水装满了瓶子。,Tā yòngshuǐ zhuāngmǎn le píngzi.,He filled the bottle with water.,请打开瓶子。,Qǐng dǎkāi píngzi.,Please open the bottle.
797,骑,qí,to ride,动 v.,动 v.,verb,3,3,我每天骑自行车上学。,Wǒ měitiān qí zìxíngchē shàngxué.,I ride a bicycle to school every day.,周末我们去公园骑马。,Zhōumò wǒmen qù gōngyuán qímǎ.,We go horseback riding in the park on weekends.,她还不会骑自行车。,Tā hái búhuì qí zìxíngchē.,She still does not know how to ride a bicycle.
798,奇怪,qíguài,strange; odd; to marvel,形 adj.,形 adj.,adjective,3,3,你注意到奇怪的地方了吗？,Nǐ zhùyì dào qíguài de dìfang le ma?,Did you notice anything strange?,他这么说很奇怪。,Tā zhème shuō hěn qíguài.,It is strange that he should say so.,我昨晚做了一个奇怪的梦。,Wǒ zuówǎn zuò le yígè qíguài de mèng.,I had a strange dream last night.
799,其实,qíshí,actually; in fact; really,副 adv.,副 adv.,adverb,3,3,其实这个问题并不难。,Qíshí zhège wèntí bìng bùnán.,Actually; this problem is not difficult.,他看起来很严肃，其实很热情。,Tā kànqǐlái hěn yánsù; qíshí hěn rèqíng.,He looks serious; but he is actually very friendly.,我其实已经知道答案了。,Wǒ qíshí yǐjīng zhīdào dáàn le.,I actually already know the answer.
800,其他,qítā,other; else; the rest,代 pron.,代 pron.,pronoun,3,3,你有任何其他的问题吗？,Nǐ yǒu rènhé qítā de wèntí ma?,Do you have any other questions?,你会去访问其他国家吗？,Nǐ huì qù fǎngwèn qítā guójiā ma?,Are you going to visit any other countries?,请给我看看其他的。,Qǐng gěi wǒ kànkàn qítā de.,Please show me another one.
801,起,qǐ,to rise; measure word for events,动 v.; （量 m.w.）,动 v.,verb; measure word,3,3（5）,请大家一起起立。,Qǐng dàjiā yìqǐ qǐlì.,Everyone; please stand up together.,太阳每天从东方升起。,Tàiyáng měitiān cóng dōngfāng shēngqǐ.,The sun rises in the east every day.,最近发生了三起交通事故。,Zuìjìn fāshēng le sānqǐ jiāotōngshìgù.,Three traffic accidents occurred recently.
802,起飞,qǐfēi,to take off,动 v.,动 v.,verb,3,3,飞机起飞的时候我很紧张。,Fēijī qǐfēi de shíhòu wǒ hěn jǐnzhāng.,I was very nervous as the plane took off.,这班飞机准时起飞。,Zhè bān fēijī zhǔnshí qǐfēi.,The airplane took off on time.,飞机十分钟后起飞。,Fēijī shífēnzhōng hòu qǐfēi.,The plane takes off in ten minutes.
803,汽车,qìchē,car; automobile; bus,名 n.,名 n.,noun,3,3,我每天开汽车上班。,Wǒ měitiān kāi qìchē shàngbān.,I drive a car to work every day.,门口停着一辆黑色汽车。,Ménkǒu tíng zhe yíliàng hēisè qìchē.,A black car is parked at the entrance.,这辆汽车已经用了十年。,Zhè liàng qìchē yǐjīng yòng le shínián.,This car has been used for ten years.
804,铅笔,qiānbǐ,pencil; 枝; 桿|杆,名 n.,名 n.,noun,3,3,请用铅笔写答案。,Qǐng yòng qiānbǐ xiě dáàn.,Please write the answer in pencil.,我的铅笔掉在地上了。,Wǒ de qiānbǐ diào zài dìshàng le.,My pencil fell on the floor.,他买了一盒新铅笔。,Tā mǎi le yìhé xīn qiānbǐ.,He bought a box of new pencils.
805,前年,qiánnián,the year before last,名 n.,名 n.,noun,3,3,我前年去过北京。,Wǒ qiánnián qùguò běijīng.,I went to Beijing the year before last.,她前年开始学习中文。,Tā qiánnián kāishǐ xuéxí zhōngwén.,She started learning Chinese the year before last.,这家店是前年开的。,Zhèjiā diàn shì qiánnián kāi de.,This shop opened the year before last.
